date,al_ingot,al_recycled
2011-02-01,249.42,
2011-03-01,250.272727,
2011-04-01,264.56,
2011-05-01,250.76,
2011-06-01,248.272727,
2011-07-01,242.05,
2011-08-01,225.27,
2011-09-01,217.85,
2011-10-01,207.2,
2011-11-01,203.85,
2011-12-01,200.47,
2012-01-01,205.42,274.0
2012-02-01,213.14,272.0
2012-03-01,222.38,274.0
2012-04-01,208.68,277.0
2012-05-01,204.6,278.0
2012-06-01,196.95,276.0
2012-07-01,195.29,273.0
2012-08-01,181.18,269.0
2012-09-01,207.79,265.0
2012-10-01,207.27,265.0
2012-11-01,209.33,268.0
2012-12-01,229.35,268.0
2013-01-01,236.789474,271.0
2013-02-01,249.157895,277.263158
2013-03-01,240.05,286.1
2013-04-01,242.95,295.142857
2013-05-01,247.1,300.52381
2013-06-01,237.6,302.8
2013-07-01,236.82,304.818182
2013-08-01,237.19,305.0
2013-09-01,235.21,304.105263
2013-10-01,236.82,304.909091
2013-11-01,235.8,305.9
2013-12-01,240.76,307.789474
2014-01-01,244.947368,309.888889
2014-02-01,242.315789,311.789474
2014-03-01,245.35,312.9
2014-04-01,260.58,313.0
2014-05-01,251.842105,313.0
2014-06-01,265.05,313.0
2014-07-01,276.772727,313.0
2014-08-01,289.85,315.714286
2014-09-01,298.2,319.6
2014-10-01,295.454545,324.545455
2014-11-01,332.78,329.444444
2014-12-01,324.0,335.368421
2015-01-01,307.842105,340.722222
2015-02-01,309.263158,343.684211
2015-03-01,306.05,344.0
2015-04-01,306.74,341.285714
2015-05-01,305.47,338.333333
2015-06-01,284.863636,335.272727
2015-07-01,257.727273,332.272727
2015-08-01,246.55,329.285714
2015-09-01,246.789474,326.315789
2015-10-01,236.52,323.285714
2015-11-01,235.95,319.421053
2015-12-01,238.06,314.526316
2016-01-01,232.315789,310.235294
2016-02-01,233.25,306.4
2016-03-01,228.5,300.545455
2016-04-01,225.8,296.4
2016-05-01,222.82,293.315789
2016-06-01,221.227273,291.181818
2016-07-01,219.7,288.3
2016-08-01,214.952381,285.272727
2016-09-01,210.9,282.3
2016-10-01,221.3,279.3
2016-11-01,239.15,277.2
2016-12-01,254.35,281.473684
2017-01-01,260.842105,291.411765
2017-02-01,264.0,301.0
2017-03-01,270.86,307.454545
2017-04-01,269.06,310.7
2017-05-01,272.44,311.0
2017-06-01,265.95,310.090909
2017-07-01,270.1,307.3
2017-08-01,277.86,304.272727
2017-09-01,287.85,304.0
2017-10-01,295.43,307.619048
2017-11-01,290.95,314.3
2017-12-01,286.39,318.6
2018-01-01,299.736842,319.941176
2018-02-01,291.631579,320.0
2018-03-01,275.55,320.0
2018-04-01,301.210526,318.2
2018-05-01,316.368421,316.190476
2018-06-01,311.43,318.714286
2018-07-01,295.33,319.0
2018-08-01,285.954545,317.173913
2018-09-01,285.055556,313.444444
2018-10-01,286.590909,311.181818
2018-11-01,277.1,311.0
2018-12-01,275.29,311.0
2019-01-01,254.21,310.058824
2019-02-01,258.32,305.526316
2019-03-01,261.35,300.5
2019-04-01,263.33,295.5
2019-05-01,249.89,293.210526
2019-06-01,243.6,292.1
2019-07-01,248.95,288.363636
2019-08-01,239.15,285.285714
2019-09-01,242.421053,280.526316
2019-10-01,240.48,276.380952
2019-11-01,248.95,274.2
2019-12-01,247.388889,274.0
2020-01-01,246.37,274.0
2020-02-01,238.06,275.0
2020-03-01,224.761905,275.0
2020-04-01,207.578947,271.0
2020-05-01,207.375,265.0
2020-06-01,218.772727,257.0
2020-07-01,223.904762,252.0
2020-08-01,232.368421,257.0
2020-09-01,233.8,263.0
2020-10-01,240.545455,270.0
2020-11-01,252.210526,280.0
2020-12-01,262.222222,290.0
2021-01-01,263.37,309.823529
2021-02-01,274.055556,327.0
2021-03-01,294.17,336.304348
2021-04-01,311.421053,344.238095
2021-05-01,326.588235,352.111111
2021-06-01,333.95,360.272727
2021-07-01,340.45,368.2
2021-08-01,352.6,374.428571
2021-09-01,376.95,377.7
2021-10-01,404.47619,385.238095
2021-11-01,373.2,413.0
2021-12-01,375.277778,447.666667
2022-01-01,412.421053,465.117647
2022-02-01,443.777778,461.555556
2022-03-01,488.045455,451.909091
2022-04-01,486.388889,453.7
2022-05-01,436.833333,461.157895
2022-06-01,422.245,457.454545
2022-07-01,404.6,443.5
2022-08-01,403.67,428.363636
2022-09-01,397.1,418.0
2022-10-01,405.6,417.0
2022-11-01,401.9,426.0
2022-12-01,393.28,433.333333
2023-01-01,389.684211,441.529412
2023-02-01,386.210526,439.315789
2023-03-01,370.73913,429.909091
2023-04-01,376.67,429.25
2023-05-01,384.0,425.2
2023-06-01,381.238095,423.090909
2023-07-01,373.972222,420.15
2023-08-01,381.473684,417.136364
2023-09-01,395.45,417.0
2023-10-01,400.5,424.619048
2023-11-01,402.105263,432.6
2023-12-01,381.157895,440.6
2024-01-01,387.277778,447.611111
2024-02-01,396.578947,448.0
2024-03-01,363.590909,445.15
2024-04-01,460.526316,448.809524
2024-05-01,478.944444,458.52381
2024-06-01,478.1,478.0
2024-07-01,461.0,493.318182
2024-08-01,420.789474,496.857143
2024-09-01,431.388889,494.157895
2024-10-01,471.238095,484.454545
2024-11-01,484.35,486.85
2024-12-01,474.722222,497.421053
2025-01-01,493.0,502.736842
2025-02-01,500.444444,503.0
2025-03-01,493.85,503.0
2025-04-01,430.0,500.142857
2025-05-01,438.7,493.35
2025-06-01,407.590909,481.571429
2025-07-01,458.772727,476.227273
2025-08-01,459.25,482.65
2025-09-01,469.611111,489.65
2025-10-01,498.142857,494.772727
2025-11-01,511.105263,501.611111
2025-12-01,518.166667,511.5
2026-01-01,576.421053,526.210526
2026-02-01,567.222222,541.166667
2026-03-01,634.175,553.428571
