date,diesel_national,truck_surcharge
1990-08-01,72.0,0.0
1990-09-01,83.0,0.0
1990-10-01,88.0,0.0
1990-11-01,88.0,0.0
1990-12-01,85.0,0.0
1991-01-01,82.0,0.0
1991-02-01,79.0,0.0
1991-03-01,77.0,0.0
1991-04-01,77.0,0.0
1991-05-01,77.0,0.0
1991-06-01,77.0,0.0
1991-07-01,77.0,0.0
1991-08-01,77.0,0.0
1991-09-01,77.0,0.0
1991-10-01,77.0,0.0
1991-11-01,78.0,0.0
1991-12-01,78.0,0.0
1992-01-01,77.0,0.0
1992-02-01,76.0,0.0
1992-03-01,76.0,0.0
1992-04-01,76.0,0.0
1992-05-01,75.0,0.0
1992-06-01,75.0,0.0
1992-07-01,76.0,0.0
1992-08-01,76.0,0.0
1992-09-01,77.0,0.0
1992-10-01,77.0,0.0
1992-11-01,77.0,0.0
1992-12-01,77.0,0.0
1993-01-01,77.0,0.0
1993-02-01,77.0,0.0
1993-03-01,77.0,0.0
1993-04-01,77.0,0.0
1993-05-01,77.0,0.0
1993-06-01,77.0,0.0
1993-07-01,77.0,0.0
1993-08-01,76.0,0.0
1993-09-01,76.0,0.0
1993-10-01,76.0,0.0
1993-11-01,76.0,0.0
1993-12-01,84.0,0.0
1994-01-01,84.0,0.0
1994-02-01,83.0,0.0
1994-03-01,83.0,0.0
1994-04-01,83.0,0.0
1994-05-01,83.0,0.0
1994-06-01,83.0,0.0
1994-07-01,83.0,0.0
1994-08-01,83.0,0.0
1994-09-01,83.0,0.0
1994-10-01,82.0,0.0
1994-11-01,82.0,0.0
1994-12-01,82.0,0.0
1995-01-01,82.0,0.0
1995-02-01,82.0,0.0
1995-03-01,81.0,0.0
1995-04-01,81.0,0.0
1995-05-01,81.0,0.0
1995-06-01,80.0,0.0
1995-07-01,80.0,0.0
1995-08-01,80.0,0.0
1995-09-01,79.0,0.0
1995-10-01,79.0,0.0
1995-11-01,79.0,0.0
1995-12-01,79.0,0.0
1996-01-01,79.0,0.0
1996-02-01,79.0,0.0
1996-03-01,79.0,0.0
1996-04-01,81.0,0.0
1996-05-01,81.0,0.0
1996-06-01,81.0,0.0
1996-07-01,81.0,0.0
1996-08-01,81.0,0.0
1996-09-01,81.0,0.0
1996-10-01,81.0,0.0
1996-11-01,82.0,0.0
1996-12-01,82.0,0.0
1997-01-01,83.0,0.0
1997-02-01,83.0,0.0
1997-03-01,83.0,0.0
1997-04-01,83.0,0.0
1997-05-01,83.0,0.0
1997-06-01,82.0,0.0
1997-07-01,82.0,0.0
1997-08-01,82.0,0.0
1997-09-01,81.0,0.0
1997-10-01,81.0,0.0
1997-11-01,81.0,0.0
1997-12-01,80.0,0.0
1998-01-01,80.0,0.0
1998-02-01,80.0,0.0
1998-03-01,79.0,0.0
1998-04-01,78.0,0.0
1998-05-01,77.0,0.0
1998-06-01,77.0,0.0
1998-07-01,76.0,0.0
1998-08-01,76.0,0.0
1998-09-01,76.0,0.0
1998-10-01,76.0,0.0
1998-11-01,76.0,0.0
1998-12-01,76.0,0.0
1999-01-01,76.0,0.0
1999-02-01,76.0,0.0
1999-03-01,75.0,0.0
1999-04-01,75.0,0.0
1999-05-01,75.0,0.0
1999-06-01,76.0,0.0
1999-07-01,76.0,0.0
1999-08-01,77.0,0.0
1999-09-01,77.0,0.0
1999-10-01,78.0,0.0
1999-11-01,79.0,0.0
1999-12-01,79.0,0.0
2000-01-01,79.0,0.0
2000-02-01,79.0,0.0
2000-03-01,80.0,0.0
2000-04-01,81.0,0.0
2000-05-01,81.0,0.0
2000-06-01,81.0,0.0
2000-07-01,82.0,0.0
2000-08-01,82.0,0.0
2000-09-01,82.0,0.0
2000-10-01,84.0,0.0
2000-11-01,85.0,0.0
2000-12-01,85.0,0.0
2001-01-01,85.0,0.0
2001-02-01,84.0,0.0
2001-03-01,84.0,0.0
2001-04-01,84.0,0.0
2001-05-01,83.0,0.0
2001-06-01,83.0,0.0
2001-07-01,83.0,0.0
2001-08-01,83.0,0.0
2001-09-01,83.0,0.0
2001-10-01,82.0,0.0
2001-11-01,82.0,0.0
2001-12-01,81.0,0.0
2002-01-01,80.0,0.0
2002-02-01,80.0,0.0
2002-03-01,80.0,0.0
2002-04-01,80.0,0.0
2002-05-01,82.0,0.0
2002-06-01,82.0,0.0
2002-07-01,81.0,0.0
2002-08-01,81.0,0.0
2002-09-01,80.0,0.0
2002-10-01,81.0,0.0
2002-11-01,81.0,0.0
2002-12-01,81.0,0.0
2003-01-01,81.0,0.0
2003-02-01,82.0,0.0
2003-03-01,83.5,0.0
2003-04-01,83.8,0.0
2003-05-01,83.2,0.0
2003-06-01,82.2,0.0
2003-07-01,82.0,0.0
2003-08-01,81.9,0.0
2003-09-01,81.9,0.0
2003-10-01,81.7,0.0
2003-11-01,81.4,0.0
2003-12-01,81.3,0.0
2004-01-01,81.1,0.0
2004-02-01,81.1,0.0
2004-03-01,81.4,0.0
2004-04-01,84.9,0.0
2004-05-01,83.05,0.0
2004-06-01,86.58,0.0
2004-07-01,86.86,0.0
2004-08-01,87.05,0.0
2004-09-01,90.86,0.0
2004-10-01,90.86,0.0
2004-11-01,91.62,0.0
2004-12-01,90.86,0.0
2005-01-01,89.91,0.0
2005-02-01,89.72,0.0
2005-03-01,90.58,0.0
2005-04-01,94.96,0.0
2005-05-01,96.86,0.0
2005-06-01,96.2,0.0
2005-07-01,98.29,0.0
2005-08-01,101.15,244.17
2005-09-01,102.86,608.92
2005-10-01,103.34,710.23
2005-11-01,102.77,588.65
2005-12-01,102.2,467.07
2006-01-01,102.29,487.34
2006-02-01,103.24,689.97
2006-03-01,104.1,872.34
2006-04-01,104.39,933.13
2006-05-01,108.96,1905.78
2006-06-01,109.05,1926.04
2006-07-01,110.2,2169.2
2006-08-01,116.0,3405.27
2006-09-01,116.2,3445.8
2006-10-01,113.15,2797.37
2006-11-01,110.39,2209.73
2006-12-01,109.62,2047.62
2007-01-01,108.39,1784.19
2007-02-01,106.0,1277.61
2007-03-01,106.1,1297.87
2007-04-01,107.05,1500.51
2007-05-01,112.2,2594.73
2007-06-01,113.91,2959.47
2007-07-01,115.81,3364.74
2007-08-01,118.96,4033.43
2007-09-01,117.43,3709.22
2007-10-01,118.77,3992.91
2007-11-01,123.53,5006.08
2007-12-01,128.48,6059.78
2008-01-01,127.34,5816.62
2008-02-01,126.67,5674.77
2008-03-01,127.53,5857.14
2008-04-01,113.19,2806.48
2008-05-01,134.67,7376.9
2008-06-01,147.24,10051.67
2008-07-01,156.67,12057.75
2008-08-01,159.15,12584.6
2008-09-01,149.91,10619.05
2008-10-01,134.39,7316.11
2008-11-01,116.48,3506.59
2008-12-01,102.48,527.86
2009-01-01,98.86,0.0
2009-02-01,97.62,0.0
2009-03-01,96.0,0.0
2009-04-01,96.96,0.0
2009-05-01,97.72,0.0
2009-06-01,98.96,0.0
2009-07-01,100.48,102.33
2009-08-01,101.34,284.7
2009-09-01,103.24,689.97
2009-10-01,102.39,507.6
2009-11-01,102.29,487.34
2009-12-01,102.39,507.6
2010-01-01,104.67,993.92
2010-02-01,104.96,1054.71
2010-03-01,106.77,1439.72
2010-04-01,111.91,2533.94
2010-05-01,113.43,2858.16
2010-06-01,111.62,2473.15
2010-07-01,110.48,2229.99
2010-08-01,109.81,2088.15
2010-09-01,108.77,1865.25
2010-10-01,108.77,1865.25
2010-11-01,109.05,1926.04
2010-12-01,110.2,2169.2
2011-01-01,114.29,3040.53
2011-02-01,115.62,3324.21
2011-03-01,126.48,5634.25
2011-04-01,127.81,5917.93
2011-05-01,124.86,5289.77
2011-06-01,124.67,5249.24
2011-07-01,125.43,5411.35
2011-08-01,123.24,4945.29
2011-09-01,120.67,4398.18
2011-10-01,118.48,3932.12
2011-11-01,119.91,4236.07
2011-12-01,119.91,4236.07
2012-01-01,119.91,4236.07
2012-02-01,121.91,4661.6
2012-03-01,131.62,6728.47
2012-04-01,130.1,6404.26
2012-05-01,123.72,5046.61
2012-06-01,118.77,3992.91
2012-07-01,116.86,3587.64
2012-08-01,122.2,4722.39
2012-09-01,123.91,5087.13
2012-10-01,122.48,4783.18
2012-11-01,121.15,4499.49
2012-12-01,123.24,4945.29
2013-01-01,126.1,5553.19
2013-02-01,130.48,6485.31
2013-03-01,130.0,6383.99
2013-04-01,128.29,6019.25
2013-05-01,127.15,5776.09
2013-06-01,127.24,5796.35
2013-07-01,132.1,6829.79
2013-08-01,132.86,6991.89
2013-09-01,132.96,7012.16
2013-10-01,133.53,7133.74
2013-11-01,132.2,6850.05
2013-12-01,133.72,7174.27
2014-01-01,134.1,7255.32
2014-02-01,133.53,7133.74
2014-03-01,134.0,7235.06
2014-04-01,134.97,7440.5
2014-05-01,135.8,7617.81
2014-06-01,137.84,8051.22
2014-07-01,138.86,8267.93
2014-08-01,137.93,8070.92
2014-09-01,136.27,7716.31
2014-10-01,132.66,6947.99
2014-11-01,129.79,6337.27
2014-12-01,122.1,4702.13
2015-01-01,110.8,2298.66
2015-02-01,111.54,2456.26
2015-03-01,113.03,2771.47
2015-04-01,112.84,2732.07
2015-05-01,114.88,3165.48
2015-06-01,116.64,3539.8
2015-07-01,114.6,3106.38
2015-08-01,108.67,1845.55
2015-09-01,107.29,1550.04
2015-10-01,106.08,1293.93
2015-11-01,103.86,821.12
2015-12-01,100.8,171.0
2016-01-01,95.16,0.0
2016-02-01,92.84,0.0
2016-03-01,92.66,0.0
2016-04-01,94.51,0.0
2016-05-01,95.71,0.0
2016-06-01,98.3,0.0
2016-07-01,97.19,0.0
2016-08-01,97.01,0.0
2016-09-01,97.19,0.0
2016-10-01,99.6,0.0
2016-11-01,99.41,0.0
2016-12-01,103.77,801.42
2017-01-01,104.6,978.72
2017-02-01,104.41,939.32
2017-03-01,106.36,1353.03
2017-04-01,106.27,1333.33
2017-05-01,104.97,1057.53
2017-06-01,104.14,880.22
2017-07-01,104.23,899.92
2017-08-01,104.51,959.02
2017-09-01,105.25,1116.63
2017-10-01,107.93,1687.94
2017-11-01,112.56,2672.97
2017-12-01,113.12,2791.17
2018-01-01,116.17,3441.29
2018-02-01,115.99,3401.89
2018-03-01,115.25,3244.29
2018-04-01,115.99,3401.89
2018-05-01,122.19,4721.83
2018-06-01,123.03,4899.13
2018-07-01,123.4,4977.94
2018-08-01,123.21,4938.53
2018-09-01,125.34,5391.65
2018-10-01,130.25,6435.78
2018-11-01,125.99,5529.55
2018-12-01,120.16,4288.42
2019-01-01,117.19,3658.0
2019-02-01,118.21,3874.7
2019-03-01,119.51,4150.51
2019-04-01,121.82,4643.03
2019-05-01,123.3,4958.23
2019-06-01,119.88,4229.31
2019-07-01,119.79,4209.61
2019-08-01,117.93,3815.6
2019-09-01,119.51,4150.51
2019-10-01,118.46,3928.43
2019-11-01,119.01,4044.49
2019-12-01,120.37,4334.62
2020-01-01,122.65,4818.18
2020-02-01,119.46,4141.2
2020-03-01,109.74,2071.57
2020-04-01,103.19,678.92
2020-05-01,101.1,234.04
2020-06-01,104.55,969.05
2020-07-01,105.55,1181.82
2020-08-01,108.1,1723.4
2020-09-01,107.74,1646.03
2020-10-01,107.1,1510.64
2020-11-01,106.74,1433.27
2020-12-01,108.37,1781.43
2021-01-01,111.46,2439.07
2021-02-01,115.1,3212.77
2021-03-01,121.46,4566.73
2021-04-01,121.74,4624.76
2021-05-01,123.46,4992.26
2021-06-01,126.83,5707.93
2021-07-01,128.65,6094.78
2021-08-01,128.19,5998.07
2021-09-01,129.01,6172.15
2021-10-01,136.65,7796.91
2021-11-01,137.83,8048.36
2021-12-01,134.83,7410.06
2022-01-01,139.83,8473.89
2022-02-01,141.55,8841.39
2022-03-01,142.65,9073.5
2022-04-01,141.65,8860.74
2022-05-01,137.65,8009.67
2022-06-01,143.55,9266.92
2022-07-01,139.65,8435.2
2022-08-01,137.92,8067.7
2022-09-01,138.83,8261.12
2022-10-01,138.46,8183.75
2022-11-01,137.28,7932.3
2022-12-01,137.46,7970.99
2023-01-01,137.74,8029.01
2023-02-01,137.01,7874.27
2023-03-01,137.55,7990.33
2023-04-01,137.65,8009.67
2023-05-01,137.83,8048.36
2023-06-01,140.01,8512.57
2023-07-01,145.01,9576.4
2023-08-01,153.01,11278.53
2023-09-01,148.46,10311.41
2023-10-01,141.92,8918.76
2023-11-01,142.65,9073.5
2023-12-01,143.37,9228.24
2024-01-01,143.55,9266.92
2024-02-01,143.28,9208.9
2024-03-01,143.01,9150.87
2024-04-01,143.28,9208.9
2024-05-01,143.55,9266.92
2024-06-01,143.28,9208.9
2024-07-01,143.46,9247.58
2024-08-01,143.1,9170.21
2024-09-01,143.37,9228.24
2024-10-01,143.37,9228.24
2024-11-01,143.46,9247.58
2024-12-01,148.65,10350.1
2025-01-01,152.65,11201.16
2025-02-01,152.01,11065.76
2025-03-01,152.55,11181.82
2025-04-01,152.19,11104.45
2025-05-01,146.19,9827.85
2025-06-01,143.28,9208.9
2025-07-01,143.01,9150.87
2025-08-01,143.19,9189.56
2025-09-01,144.01,9363.64
2025-10-01,145.01,9576.4
2025-11-01,138.55,8203.09
2025-12-01,135.19,7487.43
2026-01-01,133.65,7158.61
2026-02-01,134.92,7429.4
2026-03-01,153.83,11452.61
